model,predictions,clean_correct,clean_mean_anls,jpeg_conditional_anls,blur_conditional_anls,distractor_conditional_anls,evidence_abstention_rate,evidence_conditional_abstention_rate,evidence_conditional_false_answer_rate,mean_latency_seconds,peak_vram_mb
SmolVLM-2.2B,250,38,0.7213205389811427,0.9229286870250493,0.9270764667614717,0.9227901828699246,0.0,0.0,1.0,1.4876774167440034,9050.68408203125
Qwen2.5-VL-3B,250,45,0.8969187675070028,0.9965764083411143,0.9986928104575163,0.9965764083411143,0.14,0.13333333333333333,0.8666666666666667,1.9975114100359823,13041.3125
